Timeframe name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
November 2016,01/11/16,30/11/16,water,MF9,54.58,%,Steenbras Lower,
December 2016,01/12/16,31/12/16,water,MF9,44.03,%,Steenbras Lower,
January 2017,01/01/17,31/01/17,water,MF9,39.13,%,Steenbras Lower,
February 2017,01/02/17,28/02/17,water,MF9,41.31,%,Steenbras Lower,
March 2017,01/03/17,31/03/17,water,MF9,33.83,%,Steenbras Lower,
April 2017,01/04/17,30/04/17,water,MF9,32.48,%,Steenbras Lower,
May 2017,01/05/17,31/05/17,water,MF9,25.22,%,Steenbras Lower,
June 2017,01/06/17,30/06/17,water,MF9,28.24,%,Steenbras Lower,
July 2017,01/07/17,31/07/17,water,MF9,29.29,%,Steenbras Lower,
August 2017,01/08/17,31/08/17,water,MF9,30.61,%,Steenbras Lower,
September 2017,01/09/17,30/09/17,water,MF9,44.82,%,Steenbras Lower,
October 2017,01/10/17,31/10/17,water,MF9,47.23,%,Steenbras Lower,
November 2017,01/11/17,30/11/17,water,MF9,53.15,%,Steenbras Lower,
December 2017,01/12/17,31/12/17,water,MF9,52.72,%,Steenbras Lower,
January 2018,01/01/18,31/01/18,water,MF9,47.06,%,Steenbras Lower,
February 2018,01/02/18,28/02/18,water,MF9,40.15,%,Steenbras Lower,
March 2018,01/03/18,31/03/18,water,MF9,38.95,%,Steenbras Lower,
April 2018,01/04/18,30/04/18,water,MF9,38.73,%,Steenbras Lower,
May 2018,01/05/18,31/05/18,water,MF9,35.42,%,Steenbras Lower,
June 2018,01/06/18,30/06/18,water,MF9,42.81,%,Steenbras Lower,
July 2018,01/07/18,31/07/18,water,MF9,56.12,%,Steenbras Lower,
August 2018,01/08/18,31/08/18,water,MF9,65.88,%,Steenbras Lower,
September 2018,01/09/18,30/09/18,water,MF9,88.29,%,Steenbras Lower,
October 2018,01/10/18,31/10/18,water,MF9,90.17,%,Steenbras Lower,
November 2018,01/11/18,30/11/18,water,MF9,82.65,%,Steenbras Lower,
December 2018,01/12/18,31/12/18,water,MF9,73.09,%,Steenbras Lower,
January 2019,01/01/19,31/01/19,water,MF9,63.4,%,Steenbras Lower,
February 2019,01/02/19,28/02/19,water,MF9,55.87,%,Steenbras Lower,
March 2019,01/03/19,31/03/19,water,MF9,50.18,%,Steenbras Lower,
April 2019,01/04/19,30/04/19,water,MF9,43.66,%,Steenbras Lower,
May 2019,01/05/19,31/05/19,water,MF9,39.54,%,Steenbras Lower,
